aX,aY,aZ,gX,gY,gZ
0.177,-0.096,1.001,1.404,4.822,-3.723
0.171,-0.100,1.001,1.526,3.906,-3.296

0.834,-0.385,-0.352,-23.254,-14.404,44.312
0.913,-0.389,-0.388,-16.968,-11.230,35.950
0.864,-0.333,-0.441,-10.681,-17.212,22.278
0.843,-0.318,-0.524,-3.662,-20.813,7.507
0.831,-0.332,-0.650,1.648,-23.560,-4.578
0.818,-0.380,-0.780,4.272,-31.006,-14.587
0.804,-0.388,-0.803,3.235,-42.542,-21.118
0.758,-0.385,-0.838,6.775,-59.631,-25.940
0.724,-0.431,-0.926,13.489,-77.515,-28.137
0.686,-0.465,-1.018,18.555,-92.529,-26.550
0.650,-0.474,-1.068,18.738,-105.103,-22.705
0.620,-0.463,-1.143,15.015,-116.272,-21.545
0.609,-0.467,-1.200,8.423,-125.000,-21.606
0.584,-0.458,-1.283,0.854,-134.583,-22.400
0.568,-0.427,-1.347,-7.996,-147.705,-23.804
0.552,-0.386,-1.314,-13.733,-163.025,-25.452
0.495,-0.342,-1.193,-17.395,-180.298,-26.978
0.440,-0.217,-1.184,-25.269,-198.547,-26.611
0.508,-0.148,-1.062,-30.457,-209.778,-22.644
0.562,-0.128,-0.913,-40.344,-223.816,-17.761
0.626,-0.099,-0.778,-49.683,-250.000,-17.456
0.519,-0.057,-0.515,-50.171,-286.926,-21.484
0.541,-0.009,-0.446,-13.062,-325.012,-32.898
0.533,0.087,-0.481,15.198,-364.624,-46.326
0.449,0.110,-0.468,6.042,-405.762,-53.467
0.320,0.053,-0.387,-17.334,-437.134,-53.284
0.135,-0.053,-0.232,-47.791,-455.078,-48.279
-0.077,-0.146,-0.035,-95.520,-462.769,-42.175
-0.278,-0.174,0.262,-167.664,-458.130,-34.729
-0.345,-0.112,0.690,-245.483,-436.279,-25.635
-0.304,-0.020,1.021,-295.105,-395.142,-23.376
-0.214,0.082,1.240,-307.495,-338.745,-32.288
-0.176,0.143,1.420,-294.495,-277.222,-50.049
-0.205,0.130,1.506,-274.536,-226.318,-69.214
-0.260,0.153,1.599,-264.771,-192.139,-83.008
-0.325,0.190,1.743,-249.268,-171.448,-88.806
-0.347,0.244,1.944,-215.454,-163.086,-85.510
-0.359,0.257,2.082,-163.086,-169.922,-73.425
-0.395,0.175,2.073,-100.220,-188.049,-52.734
-0.469,0.061,1.997,-48.340,-206.360,-26.978
-0.513,-0.029,1.892,-30.518,-212.830,-2.625
-0.469,-0.068,1.797,-48.889,-198.914,15.015
-0.372,-0.053,1.768,-84.778,-162.903,19.775
-0.292,0.003,1.777,-122.803,-112.000,17.761
-0.211,0.059,1.809,-148.010,-54.810,13.062
-0.127,0.046,1.822,-149.292,-7.263,8.118
-0.062,0.064,1.769,-133.301,16.357,4.456
-0.051,0.068,1.631,-106.445,16.663,5.188
-0.053,0.085,1.690,-83.984,1.465,12.451
0.000,0.196,1.916,-84.534,-13.794,23.499
0.214,0.338,2.086,-84.656,-13.367,32.898
0.212,0.262,1.789,-41.199,-1.343,31.738
0.208,0.107,1.498,0.977,10.620,29.785
0.168,-0.006,1.201,26.550,12.817,30.090
0.131,-0.045,0.895,46.448,5.249,28.748
0.141,-0.090,0.653,50.476,-8.789,31.555
0.165,-0.136,0.523,37.964,-24.780,38.025
0.193,-0.174,0.505,18.677,-39.185,41.748
0.197,-0.183,0.576,-4.150,-48.706,41.931
0.215,-0.147,0.722,-31.128,-46.997,40.710
0.241,-0.111,0.910,-54.138,-35.645,36.804
0.246,-0.038,1.086,-67.566,-22.278,28.809
0.233,0.064,1.217,-68.542,-10.437,18.433
0.214,0.152,1.293,-55.786,-0.122,8.484
0.200,0.193,1.303,-36.682,7.935,2.380
0.181,0.207,1.240,-18.188,12.268,-0.061
0.148,0.201,1.118,-4.639,13.794,0.488
0.159,0.160,0.991,3.540,15.808,2.686
0.188,0.095,0.910,5.066,17.883,5.676
0.207,0.056,0.869,1.770,18.616,8.423
0.221,0.032,0.858,-2.075,18.616,9.033
0.234,0.024,0.888,-7.507,17.517,8.118
0.255,0.030,0.936,-14.404,14.648,6.958
0.260,0.048,0.991,-19.043,9.705,5.798
0.256,0.066,1.038,-17.334,5.066,3.845
0.250,0.090,1.072,-11.719,1.587,2.625
0.254,0.110,1.081,-5.493,-0.793,2.747
0.261,0.113,1.072,1.648,-2.563,3.052
0.258,0.102,1.038,8.789,-3.296,2.808
0.245,0.090,0.999,13.550,-3.784,1.587
0.234,0.086,0.968,13.062,-4.822,0.000
0.227,0.077,0.953,8.301,-5.798,-1.343
0.219,0.066,0.955,3.967,-5.371,-2.563
0.205,0.059,0.971,2.014,-4.639,-3.479
0.196,0.058,0.990,1.770,-4.578,-3.723
0.186,0.059,1.005,2.502,-5.066,-3.113
0.185,0.058,1.009,3.784,-4.761,-1.770
0.189,0.051,1.007,4.700,-3.784,0.122
0.191,0.050,1.000,4.272,-3.174,2.014
0.199,0.053,0.986,2.869,-1.892,3.174
0.213,0.055,0.980,1.648,-0.061,3.662
0.219,0.060,0.982,0.793,0.732,3.296
0.217,0.073,0.981,1.099,0.671,2.686
0.216,0.088,0.991,1.831,0.000,2.197
0.219,0.101,1.006,2.380,-1.465,1.648
0.217,0.107,1.020,3.845,-2.747,0.427
0.213,0.102,1.027,5.676,-3.540,-0.793
0.213,0.086,1.021,7.263,-3.906,-1.526
0.210,0.063,1.001,8.301,-3.540,-2.136
0.202,0.046,0.987,7.202,-2.991,-2.441
0.196,0.033,0.981,4.578,-2.625,-2.380
0.191,0.019,0.977,2.380,-2.136,-2.136
0.182,0.013,0.972,1.038,-1.709,-1.343
0.181,0.019,0.977,-0.732,-1.221,-0.305
0.187,0.032,0.998,-2.869,-0.732,0.732
0.195,0.041,1.022,-2.258,-0.061,1.282
0.199,0.046,1.032,1.526,0.244,1.282
0.201,0.052,1.024,4.272,0.427,1.709
0.207,0.056,1.016,4.822,1.221,1.953
0.210,0.058,1.008,5.432,2.686,1.404
0.211,0.064,0.992,6.470,3.845,0.671
0.214,0.072,0.977,5.371,3.845,-0.122
0.224,0.074,0.979,2.441,3.235,-1.221
0.226,0.066,0.990,0.122,1.892,-2.441
0.220,0.058,1.001,-0.916,1.038,-3.357
0.213,0.048,1.010,-0.488,0.610,-4.333
0.202,0.036,1.009,0.916,0.183,-4.639
0.193,0.029,1.005,2.197,-0.366,-3.845
0.194,0.017,1.000,3.113,-0.610,-2.747

0.818,-0.497,-0.492,-36.316,-44.373,36.133
0.837,-0.439,-0.479,-18.066,-45.532,38.818
0.824,-0.380,-0.486,-7.935,-45.349,30.762
0.823,-0.343,-0.475,-1.892,-43.701,19.287
0.810,-0.346,-0.498,4.517,-43.640,8.240
0.803,-0.384,-0.528,9.277,-42.297,-1.282
0.793,-0.444,-0.564,14.832,-38.330,-6.958
0.789,-0.458,-0.623,21.057,-35.400,-10.376
0.772,-0.451,-0.726,25.452,-33.875,-13.550
0.749,-0.438,-0.806,23.315,-33.569,-16.846
0.732,-0.441,-0.865,16.052,-38.330,-18.005
0.732,-0.479,-0.943,9.949,-43.091,-17.334
0.731,-0.506,-1.057,4.150,-48.035,-15.930
0.717,-0.440,-1.108,-4.272,-54.932,-14.954
0.714,-0.355,-1.119,-8.606,-63.416,-14.099
0.690,-0.271,-1.112,-12.634,-77.698,-12.817
0.675,-0.209,-1.080,-15.259,-97.595,-11.230
0.676,-0.226,-1.055,-2.869,-116.577,-13.428
0.594,-0.191,-1.102,-0.977,-144.714,-18.433
0.536,-0.165,-1.122,-6.287,-171.692,-22.827
0.495,-0.155,-1.054,-22.522,-194.458,-21.729
0.467,-0.152,-0.931,-44.006,-212.891,-17.822
0.493,-0.150,-0.794,-64.758,-228.027,-12.695
0.536,-0.116,-0.662,-78.979,-241.516,-7.202
