aX,aY,aZ,gX,gY,gZ
0.180,0.058,0.968,-4.395,5.981,20.447
0.194,0.044,1.020,-5.981,4.944,16.663
0.177,0.069,1.009,-6.348,2.441,7.690
0.173,0.114,1.049,-4.761,3.845,-0.854
0.141,0.151,1.063,-2.136,3.662,-5.310
0.076,0.135,1.053,1.831,0.977,-6.775
0.100,0.091,1.061,4.456,-0.427,-3.906
0.117,0.047,1.074,8.118,-0.732,0.549
0.150,0.033,1.094,14.526,0.916,2.563
0.150,0.048,1.121,23.499,6.714,-2.258
0.135,0.065,1.134,31.982,15.625,-11.169
0.127,0.057,1.107,35.828,23.437,-18.127
0.123,0.035,1.046,34.363,28.137,-19.775
0.114,0.005,0.989,29.663,31.128,-18.555
0.121,-0.011,0.973,23.315,32.410,-17.029
0.167,-0.010,0.978,15.076,30.273,-15.015
0.186,0.005,0.997,7.507,28.076,-14.465
0.214,0.015,0.996,5.188,28.137,-14.893
0.197,0.022,1.063,1.831,26.123,-16.663
0.210,0.023,1.085,4.883,28.198,-20.874
0.188,0.022,1.093,6.775,31.494,-23.743
0.138,0.010,1.089,7.935,33.508,-26.123
0.087,0.022,1.082,10.559,34.973,-27.039
0.045,0.038,1.144,11.597,35.645,-24.719
0.061,0.103,1.287,3.784,38.574,-19.836
0.099,0.130,1.435,2.808,48.706,-18.127
0.088,0.109,1.589,12.512,61.096,-20.203
0.071,0.064,1.523,25.391,66.406,-22.583
0.133,0.099,1.540,37.231,71.716,-22.461
0.113,0.014,1.434,45.044,75.500,-13.977
0.122,-0.041,1.338,43.030,79.956,-4.944
0.164,-0.046,1.307,39.551,90.271,-1.099
0.190,-0.058,1.328,36.133,100.647,0.122
0.210,-0.069,1.359,32.715,107.849,-1.465
0.228,-0.032,1.403,33.386,111.328,-4.517
0.246,-0.020,1.403,39.185,113.770,-7.446
0.256,-0.030,1.374,45.654,114.990,-9.033
0.287,-0.032,1.331,48.096,115.234,-8.362
0.317,-0.040,1.266,49.316,117.310,-6.958
0.339,-0.048,1.216,50.171,121.094,-5.615
0.372,-0.058,1.171,49.255,125.916,-5.188
0.396,-0.075,1.132,48.828,130.432,-6.470
0.403,-0.078,1.111,48.767,132.751,-9.949
0.412,-0.061,1.116,49.500,134.399,-13.611
0.421,-0.063,1.088,52.673,138.550,-17.395
0.410,-0.082,1.033,56.152,143.066,-20.447
0.402,-0.099,0.972,56.702,146.484,-21.057
0.403,-0.122,0.920,56.335,148.987,-20.203
0.417,-0.132,0.882,55.237,149.353,-18.555
0.442,-0.116,0.848,54.626,148.193,-16.907
0.477,-0.103,0.808,56.274,145.386,-15.991
0.504,-0.110,0.770,59.998,140.198,-15.137
0.520,-0.133,0.728,64.941,133.240,-14.038
0.525,-0.154,0.685,68.909,127.686,-12.878
0.517,-0.176,0.646,70.435,125.732,-11.841
0.513,-0.195,0.626,69.336,128.174,-10.742
0.502,-0.209,0.622,66.528,134.644,-11.292
0.493,-0.242,0.604,61.523,141.663,-12.085
0.490,-0.245,0.573,53.101,147.705,-10.681
0.501,-0.246,0.535,44.861,152.710,-8.057
0.525,-0.257,0.486,37.659,155.334,-4.211
0.559,-0.259,0.441,32.776,155.334,-0.183
0.593,-0.274,0.406,32.898,152.954,3.967
0.613,-0.283,0.374,36.011,148.499,7.446
0.622,-0.276,0.348,38.574,143.433,10.132
0.641,-0.261,0.323,39.429,139.404,11.475
0.663,-0.253,0.281,38.696,136.047,11.719
0.679,-0.231,0.265,37.109,133.545,10.986
0.713,-0.218,0.254,35.583,132.629,9.094
0.734,-0.221,0.250,33.508,131.714,7.019
0.750,-0.219,0.263,29.663,130.981,5.127
0.767,-0.231,0.256,26.489,131.104,3.845
0.771,-0.247,0.229,24.719,132.019,3.967
0.775,-0.258,0.205,23.865,132.812,4.883
0.779,-0.263,0.190,26.306,133.118,6.531
0.796,-0.255,0.174,29.968,133.057,8.606
0.813,-0.250,0.153,32.837,130.615,10.193
0.823,-0.238,0.117,33.508,125.549,10.925
0.832,-0.222,0.079,31.982,121.277,10.681
0.839,-0.219,0.032,28.076,119.263,9.521
0.843,-0.212,0.016,22.827,119.690,8.240
