aX,aY,aZ,gX,gY,gZ
0.321,-0.185,0.931,74.890,105.896,8.179
0.341,-0.209,0.947,76.172,104.919,6.653
0.352,-0.232,0.946,73.303,105.164,6.287
0.363,-0.267,0.928,72.693,108.154,6.226
0.368,-0.298,0.903,72.937,111.328,7.141
0.372,-0.304,0.839,70.496,112.122,9.216
0.377,-0.276,0.768,67.505,114.624,12.268
0.418,-0.261,0.724,65.491,119.751,14.526
0.454,-0.265,0.723,64.880,122.559,15.991
0.463,-0.252,0.697,63.293,120.728,17.456
0.483,-0.261,0.656,63.721,117.798,17.761
0.505,-0.290,0.621,63.782,114.929,18.982
0.503,-0.304,0.543,61.829,111.206,22.522
0.526,-0.329,0.531,60.181,109.802,26.123
0.533,-0.330,0.516,58.472,108.154,29.419
0.553,-0.311,0.527,55.359,106.750,32.715
0.594,-0.309,0.557,56.763,106.934,33.997
0.617,-0.300,0.585,61.462,105.225,33.325
0.622,-0.301,0.610,67.139,100.830,30.762
0.622,-0.281,0.586,71.106,94.055,28.015
0.626,-0.264,0.562,72.021,89.966,27.039
0.623,-0.246,0.505,69.702,88.928,27.832
0.642,-0.259,0.465,63.599,89.233,29.480
0.655,-0.280,0.400,57.556,92.224,30.762
0.678,-0.290,0.433,51.575,101.257,31.372
0.700,-0.283,0.437,46.997,111.572,29.846
0.704,-0.286,0.440,43.335,119.019,26.917
0.713,-0.287,0.439,40.894,124.390,22.766
0.714,-0.292,0.416,40.710,128.113,19.165
0.713,-0.300,0.397,40.955,129.211,17.090
0.713,-0.267,0.380,39.978,128.052,16.418
0.738,-0.279,0.354,38.696,126.221,16.296
0.753,-0.320,0.314,36.926,123.535,16.968
0.763,-0.343,0.275,33.386,121.521,17.944
0.773,-0.373,0.243,31.067,121.155,17.334
0.769,-0.387,0.217,31.921,122.070,16.663
0.769,-0.380,0.226,34.851,123.108,15.747
0.786,-0.373,0.246,37.354,123.169,14.160
0.795,-0.368,0.242,40.833,121.643,13.062
0.791,-0.366,0.201,45.593,118.469,12.085
0.787,-0.360,0.142,48.950,115.417,10.254
0.803,-0.354,0.067,51.147,114.441,7.263
0.814,-0.355,-0.001,56.458,114.197,7.080
0.805,-0.354,-0.049,57.373,111.267,9.155
0.786,-0.386,-0.093,50.476,106.445,9.216
0.772,-0.399,-0.127,40.710,103.516,8.972
0.787,-0.390,-0.111,30.212,104.004,11.047
0.828,-0.377,-0.070,22.583,106.812,13.123
0.847,-0.369,-0.104,20.935,110.596,13.000
0.868,-0.340,-0.141,23.132,112.305,11.658
0.880,-0.321,-0.170,25.879,108.582,9.033
0.879,-0.321,-0.195,28.503,100.708,5.981
0.879,-0.319,-0.238,33.264,91.614,3.723
0.892,-0.291,-0.304,37.170,83.130,2.197
0.925,-0.305,-0.287,39.673,72.510,0.488
0.890,-0.312,-0.370,37.109,60.486,-1.404
0.889,-0.355,-0.385,31.921,54.382,-1.892
0.899,-0.354,-0.390,22.705,52.673,-1.038
0.906,-0.340,-0.359,16.235,53.162,-0.061
0.908,-0.310,-0.370,13.977,52.917,0.183
0.923,-0.290,-0.381,13.123,49.805,0.366
0.936,-0.291,-0.402,11.353,43.274,-0.244
0.934,-0.296,-0.412,8.423,35.583,-1.038
0.934,-0.291,-0.439,5.066,28.076,-2.197

-0.179,0.226,0.981,8.179,-12.817,10.010
0.181,-0.086,1.050,1.404,-10.132,35.583
0.196,-0.087,1.017,-1.953,-1.648,42.236
0.227,0.017,0.964,0.183,6.042,31.433
0.269,0.031,0.908,0.488,7.812,17.944
0.265,0.035,0.937,-0.671,7.202,0.793
0.185,0.045,0.951,-0.122,6.775,-15.076
0.126,0.024,0.979,1.709,8.972,-26.306
0.121,0.003,1.086,7.385,18.555,-30.823
0.144,0.042,1.136,21.301,29.236,-31.860
0.154,0.073,1.079,36.621,38.391,-32.776
0.156,0.061,1.020,42.664,48.218,-35.034
0.185,0.012,1.121,39.185,58.594,-36.682
0.208,-0.063,1.229,38.818,67.078,-41.931
0.200,-0.116,1.395,42.542,71.960,-50.720
0.136,0.005,1.392,40.222,68.359,-58.228
0.120,-0.025,1.463,51.819,74.585,-62.500
0.086,0.016,1.515,52.856,77.026,-67.261
0.019,0.176,1.679,50.049,75.500,-70.557
-0.065,0.302,1.832,53.894,76.843,-64.453
-0.073,0.236,1.835,51.941,81.787,-43.579
-0.054,0.037,1.781,45.166,86.853,-15.442
-0.034,-0.056,1.736,48.950,93.323,4.028
0.013,-0.049,1.679,65.857,99.854,13.000
0.111,-0.024,1.699,84.106,103.577,17.578
0.165,0.000,1.741,103.333,106.995,15.259
0.153,0.019,1.750,111.267,104.980,7.996
0.153,0.032,1.732,111.267,106.323,2.319
0.140,-0.046,1.647,114.746,117.981,-1.648
0.118,-0.140,1.576,115.479,134.827,-4.089
0.095,-0.195,1.522,112.976,151.733,-6.836
0.101,-0.195,1.499,111.694,166.443,-8.545
0.133,-0.196,1.455,114.502,178.711,-8.545
0.156,-0.180,1.395,118.408,188.416,-7.568
0.181,-0.213,1.273,122.009,195.312,-7.080
0.205,-0.211,1.189,121.338,200.317,-5.249
0.212,-0.183,1.104,122.620,203.491,-3.601
0.245,-0.172,0.987,127.869,205.933,-2.380
0.273,-0.141,0.898,129.456,205.933,0.549
0.313,-0.135,0.810,129.517,206.238,0.610
0.340,-0.146,0.669,127.075,209.045,-1.160
0.342,-0.170,0.511,121.582,212.280,-0.793
0.334,-0.216,0.370,115.601,215.454,1.221
0.342,-0.233,0.279,106.384,217.468,4.761
0.373,-0.214,0.221,97.046,219.177,8.423
0.408,-0.200,0.158,93.079,220.093,10.315
0.430,-0.187,0.095,93.384,217.773,11.536
0.454,-0.163,0.066,95.032,211.731,12.573
0.472,-0.163,0.038,99.365,203.308,12.634
0.489,-0.167,-0.009,103.882,192.627,13.306
0.511,-0.189,-0.093,104.614,181.152,15.259
0.513,-0.219,-0.170,102.417,171.021,17.395
0.521,-0.249,-0.226,97.046,163.513,18.494
0.542,-0.258,-0.259,92.651,159.241,20.203
0.559,-0.252,-0.270,92.651,156.250,21.057
0.589,-0.258,-0.285,93.262,151.306,20.752
0.605,-0.252,-0.287,90.698,144.226,21.851
0.637,-0.238,-0.275,88.440,136.841,22.400
0.660,-0.265,-0.318,88.745,129.272,21.667
0.652,-0.273,-0.386,85.999,121.704,22.461
0.650,-0.259,-0.437,79.529,114.441,23.254
0.681,-0.224,-0.448,71.716,109.619,24.292
0.728,-0.223,-0.460,66.223,106.873,26.184
0.765,-0.217,-0.454,64.331,102.600,28.076
0.793,-0.229,-0.459,64.392,94.727,28.198
0.788,-0.241,-0.527,64.758,84.473,28.381
0.838,-0.283,-0.487,61.829,71.960,28.748
0.822,-0.207,-0.605,49.622,58.167,29.480
0.862,-0.262,-0.510,48.401,46.936,27.222
0.836,-0.207,-0.570,40.894,41.138,26.062
0.860,-0.240,-0.521,41.443,39.917,21.484
0.885,-0.260,-0.476,29.236,38.818,18.982
0.896,-0.253,-0.460,22.522,37.415,14.099
0.893,-0.269,-0.420,24.902,35.217,7.690
0.903,-0.280,-0.390,23.499,31.738,3.662
0.905,-0.281,-0.377,23.193,26.184,0.488
0.915,-0.297,-0.353,24.902,18.372,-2.747
0.899,-0.318,-0.346,22.583,10.864,-3.784
0.882,-0.335,-0.343,17.761,6.653,-3.296
0.871,-0.361,-0.337,16.724,3.906,-2.502
0.866,-0.359,-0.321,15.076,1.099,-0.671
0.874,-0.339,-0.296,10.254,-1.099,1.953
0.881,-0.347,-0.288,6.531,-1.343,4.517
0.897,-0.361,-0.295,3.479,0.061,5.981
0.910,-0.360,-0.294,-1.221,1.770,6.104
0.922,-0.334,-0.272,-5.798,3.174,5.493
0.956,-0.325,-0.228,-7.141,4.700,4.517
0.974,-0.320,-0.197,-6.348,4.822,3.479
0.989,-0.312,-0.209,-3.479,3.357,1.709
0.986,-0.338,-0.232,2.197,0.366,-1.160
0.964,-0.342,-0.246,4.944,-4.395,-3.174
0.956,-0.329,-0.220,5.066,-7.690,-4.028
0.951,-0.345,-0.196,7.141,-7.263,-4.211
0.939,-0.361,-0.185,7.629,-4.456,-3.296
0.948,-0.348,-0.180,5.859,-2.502,-2.686
0.959,-0.348,-0.188,4.700,-1.038,-2.991
0.954,-0.342,-0.192,2.502,0.183,-3.174
0.958,-0.343,-0.190,-0.122,1.648,-3.418
0.952,-0.356,-0.191,-1.587,4.150,-3.906
0.936,-0.376,-0.197,-1.648,6.592,-3.845
0.923,-0.393,-0.213,0.244,7.629,-3.784
0.916,-0.392,-0.214,1.831,6.470,-3.723
0.913,-0.377,-0.209,1.221,4.517,-3.662
0.904,-0.377,-0.205,1.160,3.296,-3.418
0.903,-0.374,-0.193,1.282,3.357,-3.235
0.900,-0.378,-0.196,1.587,3.357,-2.991
0.896,-0.377,-0.197,1.526,2.502,-2.930
0.891,-0.383,-0.203,0.671,1.526,-2.930
0.883,-0.384,-0.199,0.244,0.977,-2.075
0.884,-0.380,-0.187,0.061,1.404,-0.854
0.884,-0.379,-0.186,0.488,1.648,0.366
0.886,-0.373,-0.188,1.221,0.854,1.892
0.893,-0.364,-0.186,1.770,-1.099,3.174
0.903,-0.360,-0.177,2.625,-2.625,4.211
0.909,-0.362,-0.175,3.357,-3.296,4.822
0.909,-0.365,-0.182,3.601,-3.662,5.005
0.902,-0.364,-0.186,3.052,-3.174,5.432
0.899,-0.358,-0.202,2.991,-2.258,6.287
0.906,-0.359,-0.206,3.540,-1.465,6.897

0.083,0.070,1.073,-28.687,2.075,19.409
0.100,0.048,1.017,-26.123,11.780,25.452
0.129,0.058,1.049,-23.437,21.912,28.687
0.125,0.073,0.997,-27.832,21.606,28.381
0.121,0.105,0.947,-26.184,21.179,24.658
0.132,0.114,0.926,-23.682,18.799,21.057
0.161,0.117,0.942,-21.362,15.076,14.893
0.158,0.133,1.023,-16.479,11.963,7.446
0.151,0.145,1.141,-7.935,12.268,-0.916
0.134,0.205,1.254,4.211,20.691,-6.531
0.183,0.147,1.312,23.865,38.635,-9.460
0.178,0.090,1.192,44.495,58.350,-16.968
0.156,0.101,1.019,50.171,69.397,-26.184
0.193,0.080,0.946,43.945,73.364,-30.212
0.233,0.061,0.943,38.818,73.364,-32.288
0.242,0.047,0.989,37.720,68.970,-37.537
0.198,0.057,1.050,32.959,58.411,-45.166
0.166,0.103,1.002,24.048,43.701,-49.622
0.160,0.117,1.008,27.466,36.560,-48.950
0.142,0.129,1.058,31.555,29.419,-43.884
0.117,0.138,1.122,33.325,19.592,-37.720
0.076,0.155,1.217,35.828,11.230,-29.846
0.074,0.168,1.323,37.720,9.705,-20.996
0.090,0.160,1.419,35.522,14.038,-12.207
0.101,0.154,1.487,36.560,24.048,-5.615
0.145,0.162,1.502,41.687,39.246,-3.296
0.176,0.152,1.482,48.828,54.138,-3.235
0.192,0.131,1.444,55.359,65.796,-3.784
0.200,0.119,1.407,59.814,74.280,-4.639
0.205,0.108,1.421,64.514,80.872,-5.066
0.198,0.093,1.462,72.632,85.388,-7.202
0.194,0.106,1.443,79.895,87.646,-9.583
0.218,0.080,1.453,88.562,93.689,-12.573
0.204,0.058,1.397,94.055,98.145,-16.235
0.197,0.043,1.335,94.666,103.027,-17.578
0.188,-0.023,1.299,96.741,110.107,-17.578
0.199,-0.075,1.296,98.267,117.310,-18.188
0.213,-0.086,1.288,98.389,123.779,-18.616
0.229,-0.091,1.271,99.670,129.639,-18.494
0.255,-0.119,1.226,102.295,131.775,-17.578
0.293,-0.115,1.180,102.173,128.601,-14.954
0.342,-0.106,1.137,103.577,122.498,-12.878
0.372,-0.123,1.089,106.812,116.699,-13.306
0.399,-0.162,1.026,108.032,112.122,-15.991
0.395,-0.196,0.984,106.689,109.253,-19.165
0.389,-0.200,0.973,103.333,109.985,-21.118
0.409,-0.197,0.982,102.844,114.502,-24.231
0.420,-0.198,0.993,105.042,119.873,-27.222
0.414,-0.234,0.971,108.459,122.437,-28.381
0.401,-0.261,0.926,108.704,122.070,-26.978
0.395,-0.279,0.875,106.812,120.300,-23.132
0.401,-0.296,0.820,105.164,118.103,-17.517
0.412,-0.301,0.763,101.746,117.798,-10.315
0.420,-0.305,0.691,97.717,121.216,-3.418
0.440,-0.297,0.622,93.201,127.625,2.808
0.483,-0.298,0.542,89.172,137.390,6.470
0.501,-0.325,0.462,84.045,146.729,7.019
0.507,-0.340,0.406,76.111,153.076,7.568
0.516,-0.349,0.359,69.397,156.982,8.484
0.531,-0.355,0.305,65.186,158.752,9.033
0.540,-0.368,0.246,60.486,157.837,10.620
0.543,-0.384,0.198,56.213,154.480,13.367
0.549,-0.392,0.167,52.673,151.123,16.663
0.562,-0.363,0.154,48.096,149.658,19.714
0.576,-0.347,0.124,43.945,149.414,21.851
0.586,-0.354,0.078,37.659,149.902,24.231
0.588,-0.371,0.024,28.137,151.428,27.832
0.587,-0.378,-0.012,17.517,153.076,31.189
0.604,-0.378,-0.019,6.592,154.297,34.119
0.634,-0.363,-0.011,-3.601,156.189,36.865
0.669,-0.348,-0.011,-9.399,158.325,38.940
0.704,-0.341,-0.023,-10.620,159.241,39.612
0.754,-0.294,-0.018,-9.888,157.227,38.391
0.836,-0.232,-0.023,-4.028,151.733,34.058
0.892,-0.244,-0.047,10.254,140.198,26.978
1.017,-0.382,0.005,27.161,124.084,16.479
0.941,-0.306,-0.009,58.716,109.131,-6.104
0.889,-0.207,-0.068,77.881,94.177,-25.635
0.850,-0.211,-0.170,75.256,78.979,-27.710
0.800,-0.268,-0.232,65.308,69.214,-21.484
0.792,-0.333,-0.255,50.476,64.819,-12.451
0.812,-0.348,-0.216,34.546,63.232,-4.822
0.862,-0.346,-0.154,26.428,64.758,-0.671
0.904,-0.348,-0.089,27.527,67.078,1.282
0.940,-0.329,-0.027,31.189,67.688,-0.977
0.942,-0.347,-0.025,35.522,64.209,-4.944
0.900,-0.370,-0.058,34.729,59.204,-8.118
0.855,-0.392,-0.100,30.273,56.458,-8.789
0.830,-0.436,-0.151,26.733,58.044,-7.751
0.787,-0.458,-0.319,23.682,62.134,-5.737
0.809,-0.490,-0.239,17.212,66.406,-3.479
0.819,-0.488,-0.206,2.502,68.481,2.197
0.800,-0.421,-0.375,2.563,64.087,4.639
0.917,-0.439,-0.114,15.869,58.044,2.014
0.842,-0.332,-0.368,10.498,49.072,8.057
0.898,-0.371,-0.320,17.334,36.926,5.981
0.901,-0.359,-0.366,15.320,30.334,5.615
0.883,-0.379,-0.405,15.076,26.184,5.615
0.902,-0.401,-0.375,16.724,23.132,2.747
0.903,-0.397,-0.363,15.381,19.714,0.244
0.895,-0.389,-0.369,13.123,15.320,-2.380
0.886,-0.404,-0.379,11.780,9.583,-3.601
0.880,-0.419,-0.381,9.827,3.601,-4.028
0.876,-0.427,-0.371,7.141,-1.892,-3.479
0.877,-0.424,-0.331,5.981,-6.165,-3.174
0.887,-0.408,-0.261,4.944,-9.033,-2.563
0.904,-0.392,-0.188,3.540,-10.315,-1.221
0.911,-0.387,-0.142,2.197,-10.986,0.183
0.916,-0.395,-0.120,1.831,-11.414,1.404
0.932,-0.397,-0.103,0.793,-12.024,2.686
0.944,-0.399,-0.098,-0.061,-12.451,3.235
0.958,-0.400,-0.092,-0.488,-12.024,2.686
0.963,-0.409,-0.083,-0.977,-11.169,1.587
0.964,-0.413,-0.059,-0.549,-9.888,0.061
0.970,-0.409,-0.039,0.732,-8.423,-1.953
0.958,-0.421,-0.049,3.845,-7.019,-3.479
0.941,-0.427,-0.057,5.554,-5.981,-4.639
0.923,-0.436,-0.067,5.432,-5.005,-4.883
0.905,-0.446,-0.084,5.371,-3.723,-4.456

-0.016,0.065,0.923,-42.664,-32.654,65.247
0.092,-0.029,0.967,-34.424,-24.170,62.561
0.056,0.051,0.966,-34.729,-23.132,54.810
0.048,0.136,0.957,-31.433,-25.513,39.490
0.076,0.165,1.016,-24.841,-18.005,25.757
0.079,0.171,1.132,-18.127,-6.714,14.343
0.114,0.141,1.225,-8.545,7.202,3.845
0.113,0.188,1.233,3.662,25.085,-6.897
0.073,0.196,1.131,19.043,41.626,-17.700
0.025,0.146,0.993,26.123,50.415,-21.851
0.022,0.120,0.957,27.039,53.955,-22.339
0.034,0.126,1.004,29.114,52.979,-21.790
0.061,0.177,1.101,37.048,49.011,-21.423
0.074,0.211,1.210,48.462,45.227,-25.085
0.046,0.169,1.295,64.697,38.818,-31.067
-0.047,0.066,1.341,82.581,27.161,-35.095
-0.059,0.051,1.530,85.754,17.090,-34.729
-0.066,0.154,1.548,83.252,18.799,-31.067
-0.051,0.146,1.575,94.299,44.189,-24.109
-0.088,0.159,1.542,88.928,63.782,-16.907
-0.111,0.217,1.544,83.191,78.918,-12.695
-0.073,0.192,1.517,81.116,92.224,-9.094
-0.090,0.127,1.477,82.642,103.088,-5.005
-0.078,0.060,1.461,83.740,110.229,-3.967
-0.063,0.061,1.445,84.473,114.319,-4.761
-0.018,0.071,1.448,88.562,116.760,-4.578
0.002,0.044,1.438,98.328,118.103,-4.578
0.018,0.000,1.431,106.323,116.455,-6.714
0.010,-0.045,1.392,110.596,114.868,-9.094
0.015,-0.092,1.331,111.206,118.103,-9.766
0.023,-0.118,1.268,111.389,127.808,-9.521
0.070,-0.117,1.223,111.145,139.160,-9.521
0.128,-0.131,1.205,111.816,147.095,-9.033
0.171,-0.118,1.200,114.014,149.353,-9.705
0.212,-0.127,1.213,117.981,145.874,-11.780
0.228,-0.173,1.120,122.009,137.634,-14.099
0.240,-0.197,1.047,126.282,134.521,-14.465
0.247,-0.219,1.020,132.080,137.939,-12.878
0.264,-0.318,1.032,132.935,136.841,-8.667
0.268,-0.341,1.006,126.709,127.869,-4.944
0.295,-0.302,0.954,121.765,121.216,-3.967
0.326,-0.300,0.892,121.399,121.887,-3.357
0.355,-0.284,0.879,119.629,125.183,-2.075
0.383,-0.282,0.844,119.812,127.930,-2.258
0.384,-0.320,0.780,120.911,128.174,-3.235
0.388,-0.341,0.728,117.249,126.892,-2.380
0.407,-0.344,0.691,111.694,125.977,0.793
0.431,-0.361,0.639,107.117,127.136,3.906
0.427,-0.379,0.596,103.760,130.005,5.859
0.434,-0.380,0.580,100.159,135.193,7.568
0.447,-0.366,0.564,99.182,141.663,9.521
0.447,-0.389,0.529,100.830,146.362,11.047
0.439,-0.412,0.477,100.342,147.949,13.794
0.438,-0.415,0.423,97.229,148.132,18.127
0.454,-0.411,0.362,94.482,149.353,22.705
0.479,-0.415,0.267,91.248,152.527,27.344
0.504,-0.429,0.176,86.426,155.884,31.189
0.535,-0.417,0.128,79.407,158.508,33.569
0.565,-0.414,0.096,72.266,159.912,33.447
0.582,-0.412,0.057,66.895,159.058,33.447
0.609,-0.394,0.029,63.354,155.151,34.424
0.639,-0.401,-0.013,62.805,147.827,34.912
0.645,-0.404,-0.060,63.904,137.634,35.645
0.661,-0.381,-0.071,65.491,127.136,36.255
0.690,-0.380,-0.069,70.190,116.882,35.828
0.714,-0.344,-0.051,75.073,106.323,34.851
0.748,-0.305,-0.031,80.017,95.886,31.982
0.774,-0.327,-0.071,85.266,86.731,29.175
0.780,-0.342,-0.140,83.496,78.125,28.564
0.788,-0.352,-0.210,76.111,70.801,28.625
0.803,-0.352,-0.253,65.552,66.711,28.198
0.809,-0.372,-0.235,53.040,66.895,27.710
0.815,-0.400,-0.159,45.959,69.763,26.611
0.834,-0.408,-0.090,45.227,73.914,23.804
0.833,-0.414,-0.052,47.241,76.111,19.836
0.815,-0.414,-0.045,46.143,73.425,17.029
0.822,-0.402,-0.038,40.588,68.726,16.357
0.839,-0.404,-0.053,33.691,64.880,17.578
0.845,-0.415,-0.076,27.893,62.805,18.799
0.859,-0.420,-0.087,24.048,63.538,18.494
0.882,-0.425,-0.090,23.132,65.002,16.907
0.878,-0.421,-0.212,23.132,65.918,14.526
0.893,-0.457,-0.159,20.020,66.162,12.451
0.879,-0.462,-0.156,12.573,63.110,12.268
0.886,-0.500,-0.154,10.803,58.899,10.315
0.858,-0.434,-0.220,9.949,53.345,8.362
0.863,-0.457,-0.208,15.198,48.157,7.141
0.870,-0.442,-0.203,15.198,44.434,6.042
0.872,-0.437,-0.218,15.137,41.016,4.272
0.871,-0.447,-0.230,13.855,39.246,2.258
0.893,-0.471,-0.182,9.705,37.415,1.160
0.896,-0.453,-0.190,4.272,33.386,0.183
0.873,-0.523,-0.127,5.615,26.611,-0.366
0.851,-0.494,-0.156,0.183,18.616,0.610
0.836,-0.415,-0.285,3.784,8.118,-0.488
0.872,-0.490,-0.217,22.766,4.944,0.183
0.845,-0.506,-0.250,17.395,7.324,4.761
0.834,-0.503,-0.244,17.517,13.916,5.798
0.851,-0.498,-0.196,15.991,20.081,8.240
0.860,-0.452,-0.194,6.592,20.447,10.193
0.866,-0.436,-0.220,-0.671,17.639,12.512
0.892,-0.438,-0.234,-2.991,15.259,13.550
0.911,-0.443,-0.254,-3.113,14.465,12.207
0.907,-0.455,-0.255,-0.916,13.367,9.338
0.921,-0.427,-0.223,0.610,10.620,5.432
0.923,-0.425,-0.209,0.854,5.310,2.991
0.911,-0.433,-0.203,2.319,-1.282,1.709
0.910,-0.431,-0.188,3.784,-5.798,-0.061
0.908,-0.437,-0.165,5.005,-8.301,-1.953
0.906,-0.431,-0.121,3.662,-6.958,-3.052
0.902,-0.426,-0.091,1.953,-3.845,-3.235
0.900,-0.442,-0.082,0.427,-1.465,-3.174
0.901,-0.455,-0.087,-1.953,0.122,-2.686
0.899,-0.475,-0.096,-3.967,0.610,-2.380
0.884,-0.489,-0.089,-4.028,0.732,-1.892
0.881,-0.486,-0.068,-1.831,1.038,-1.282
0.884,-0.485,-0.057,0.854,1.282,-0.366
0.887,-0.484,-0.059,2.686,0.916,0.366
0.884,-0.480,-0.080,3.784,0.610,0.488

0.016,-0.101,1.002,-37.720,-16.052,45.715
0.077,-0.071,0.984,-28.137,-7.874,41.016
0.056,-0.025,0.986,-32.043,-6.226,32.837
0.047,0.026,0.997,-29.907,-5.981,21.729
0.031,0.023,1.012,-24.902,-4.089,14.404
0.010,0.027,1.031,-21.606,-3.174,9.644
0.009,0.024,1.104,-18.127,-1.282,6.042
0.007,0.015,1.166,-7.690,5.615,2.014
0.007,0.024,1.222,7.202,18.738,-3.906
0.008,0.031,1.189,21.545,35.339,-10.193
-0.015,0.043,1.089,32.043,53.406,-15.686
-0.036,0.038,1.010,34.912,68.298,-19.531
-0.005,0.029,1.003,31.494,74.158,-21.423
0.042,-0.006,1.034,29.480,73.364,-22.278
0.059,-0.025,1.073,29.846,67.871,-24.536
0.031,0.036,1.172,28.259,57.800,-28.015
0.032,0.080,1.233,34.790,48.950,-34.119
0.017,0.053,1.261,51.147,45.959,-39.185
-0.024,0.007,1.256,51.147,36.316,-39.673
-0.088,0.002,1.359,46.936,32.776,-34.424
-0.085,0.001,1.559,42.297,41.565,-25.024
-0.046,0.028,1.733,43.762,58.044,-17.395
-0.044,0.042,1.810,54.810,74.341,-14.771
-0.074,0.065,1.790,61.951,87.402,-13.489
-0.061,0.056,1.723,64.941,98.816,-8.911
-0.057,0.013,1.685,71.533,111.267,-3.784
-0.065,-0.023,1.658,77.759,118.469,-1.221
-0.036,-0.010,1.651,86.182,123.657,0.610
-0.004,0.004,1.612,98.999,129.272,1.282
-0.005,-0.007,1.548,111.755,133.911,0.488
0.027,-0.021,1.502,120.911,137.207,-0.793
0.049,-0.049,1.412,129.456,139.709,-2.869
0.043,-0.069,1.350,133.179,140.015,-4.517
0.063,-0.099,1.331,133.057,141.235,-6.348
0.056,-0.153,1.293,135.010,145.020,-7.812
0.040,-0.201,1.253,135.742,150.818,-8.118
0.055,-0.217,1.246,132.629,158.020,-7.263
0.117,-0.209,1.236,129.822,167.542,-5.188
0.170,-0.232,1.173,128.296,176.270,-3.235
0.214,-0.235,1.122,124.329,181.030,-0.916
0.289,-0.210,1.105,122.253,183.289,-0.488
0.323,-0.248,1.021,124.268,183.167,-3.662
0.311,-0.294,0.920,123.108,178.467,-6.897
0.292,-0.323,0.855,118.774,172.668,-7.935
0.296,-0.328,0.815,116.760,169.922,-7.019
0.296,-0.358,0.739,117.432,169.739,-4.272
0.295,-0.375,0.657,115.112,169.006,1.099
0.325,-0.365,0.585,112.915,167.603,8.240
0.362,-0.350,0.518,113.892,166.077,14.709
0.398,-0.334,0.439,114.746,163.391,20.142
0.414,-0.337,0.364,114.502,159.729,23.804
0.421,-0.350,0.296,112.366,156.555,25.635
0.425,-0.348,0.233,107.422,156.555,26.855
0.438,-0.354,0.167,101.074,160.339,28.320
0.454,-0.355,0.096,95.764,165.161,30.762
0.482,-0.342,0.047,93.445,167.786,32.043
0.511,-0.353,-0.014,93.018,166.687,31.311
0.523,-0.348,-0.062,91.187,161.438,30.945
0.528,-0.368,-0.117,88.623,153.809,30.396
0.535,-0.362,-0.149,84.045,145.569,30.640
0.562,-0.346,-0.179,77.148,139.832,30.884
0.567,-0.358,-0.229,73.181,136.719,30.945
0.584,-0.341,-0.240,68.726,135.437,31.616
0.620,-0.339,-0.255,64.453,135.071,31.006
0.635,-0.352,-0.265,59.814,133.789,30.396
0.660,-0.355,-0.282,51.636,133.667,29.785
0.683,-0.370,-0.315,44.128,133.179,28.503
0.709,-0.383,-0.335,37.598,130.615,27.466
0.752,-0.381,-0.323,34.668,125.366,26.123
0.802,-0.394,-0.307,35.767,117.310,22.766
0.827,-0.394,-0.298,37.048,106.262,17.944
0.833,-0.393,-0.313,39.307,93.201,12.573
0.833,-0.383,-0.329,41.138,81.238,7.629
0.836,-0.382,-0.349,43.762,70.801,4.272
0.823,-0.379,-0.416,43.640,62.683,2.197
0.807,-0.395,-0.492,41.016,56.763,0.732
0.809,-0.434,-0.474,33.875,53.650,0.427
0.809,-0.441,-0.443,25.574,52.185,1.526
0.811,-0.458,-0.396,21.912,50.110,0.061
0.822,-0.454,-0.340,22.156,46.875,-1.892
0.838,-0.451,-0.318,23.193,39.795,-3.113
0.848,-0.450,-0.312,24.170,29.480,-3.784
0.859,-0.449,-0.303,26.123,19.287,-5.493
0.855,-0.467,-0.310,29.541,10.803,-7.812
0.834,-0.487,-0.319,31.311,3.906,-8.301
0.824,-0.493,-0.316,29.724,-0.610,-6.836
0.822,-0.493,-0.295,26.123,-2.625,-4.211
0.831,-0.527,-0.188,21.545,-3.174,-1.526
0.862,-0.558,-0.068,12.451,-5.737,1.221
0.885,-0.461,-0.088,3.296,-12.573,2.197
0.884,-0.432,-0.153,15.686,-19.836,-1.038
0.881,-0.455,-0.201,23.315,-17.456,-0.366
0.882,-0.500,-0.234,14.465,-7.324,3.540
0.890,-0.534,-0.208,13.000,2.869,4.089
0.893,-0.549,-0.148,11.536,9.949,4.517
0.895,-0.506,-0.109,8.301,11.108,3.845
0.888,-0.494,-0.111,7.996,7.141,3.723
0.893,-0.497,-0.138,7.874,3.418,3.845
0.892,-0.501,-0.193,6.714,1.648,3.235
0.881,-0.501,-0.227,4.150,2.686,2.686
0.887,-0.484,-0.201,-0.061,6.836,1.892
0.897,-0.478,-0.174,-3.174,11.841,0.977
0.890,-0.496,-0.169,-4.700,14.404,0.671
0.883,-0.494,-0.173,-6.348,14.465,0.122
0.897,-0.495,-0.168,-6.653,12.756,-0.732
0.902,-0.483,-0.167,-5.127,10.071,-1.831
0.913,-0.475,-0.145,-2.563,7.019,-2.869
0.903,-0.499,-0.136,1.526,3.845,-4.150
0.869,-0.518,-0.148,4.761,1.221,-4.822
0.839,-0.525,-0.156,5.615,-0.305,-4.456
0.829,-0.519,-0.147,5.066,-0.244,-3.357
0.843,-0.504,-0.129,2.869,1.465,-2.380
0.855,-0.506,-0.130,-0.183,4.272,-1.160
0.862,-0.505,-0.136,-2.747,6.470,-1.160
0.871,-0.512,-0.148,-4.089,7.935,-2.075
